Monomer,Radical,DE_tail,DE_head,DE_precursor,DE_TS,DE_product,DE_barrier,DE_reaction,E_Rad_SOMO,E_Rad_LUMO,E_Mon_HOMO,E_Mon_LUMO,DE_SHgap,DE_SLgap,VBur_R228_Rad,VBur_R350_Rad,VBur_R228_Mon,VBur_R350_Mon,Volume_Rad,Volume_Mon,CCdist_TS,Theta_TS,Sum_MW,logP_Rad,logP_Mon
C=CC(=O)OCC1CCC(CO)CC1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0040251895518395,0.0051250877870643,-0.0304989764688343,0.0091502773389038,-0.0264737869169948,-0.214231645,0.0445721163,-0.269354744,-0.0500726579,0.0551230989999999,0.1641589871,83.65524758406984,38.31752670327344,95.1832431738488,66.36034939799293,103.2494,158.19760000000002,2.2580187821357907,323.27882550416155,313.2014990260001,1.0,1.8
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0124683799281228,0.0011707136718541,-0.0311350925510396,0.013639093599977,-0.0186667126229167,-0.214231645,0.0445721163,-0.278102601,-0.0523673045,0.063870956,0.1618643404999999,83.66103725780914,38.60996792265796,95.1832431738488,66.36034939799293,103.2494,298.72819999999996,2.248309071528645,206.8921920159427,439.3787351104,1.0,7.7
C=CC(=O)OCC1CCCO1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0198256759559853,-0.0051882770569591,-0.0382407854909843,0.0146373988990262,-0.0184151095349989,-0.214231645,0.0445721163,-0.251916848,-0.0552065182,0.037685203,0.1590251268,83.66053380791877,38.34182139157747,95.1832431738488,66.36034939799293,103.2494,119.1111,2.2477956840304683,136.44392114934556,271.154548834,1.0,0.8
C=CC(=O)OCCO,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0297210459509642,-0.008105084222052,-0.0384338071889942,0.0216159617289122,-0.0087127612380299,-0.214231645,0.0445721163,-0.271308082,-0.061633137,0.057076437,0.152598508,83.79017215469001,39.31896906986846,95.1832431738488,66.36034939799293,103.2494,86.7596,2.244599628982639,165.7632194627721,231.12324870599997,1.0,0.1
C=CC(=O)OCC(C)O,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0149925809689648,-0.0043946589769348,-0.0357812785458691,0.01059792199203,-0.0207886975769042,-0.214231645,0.0445721163,-0.271391488,-0.0568908447,0.057159843,0.1573408003,83.65625448385059,38.32504483031309,95.1832431738488,66.36034939799293,103.2494,101.4877,2.2656670156479306,311.820108700687,245.13889876999997,1.0,0.4
C=CC(=O)OCCCCOCC1CO1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0205516196888311,-0.0114569785559979,-0.0429818686568523,0.0090946411328332,-0.0224302489680212,-0.214231645,0.0445721163,-0.254562286,-0.052514022,0.040330641,0.161717623,83.78639628051221,40.106214428121135,95.1832431738488,66.36034939799293,103.2494,152.61949999999996,2.252108023131439,328.60801871390015,315.1807635816,1.0,0.6
C=CC(=O)OCCOc1ccccc1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0157818212528582,-0.007997818999911,-0.0410836917549204,0.0077840022529471,-0.0253018705020622,-0.214231645,0.0445721163,-0.221817894,-0.0640423238,0.0075862489999999,0.1501893212,83.78966870479964,38.66558814029382,95.1832431738488,66.36034939799293,103.2494,141.6366,2.2614215362432986,288.4837034617452,307.15454883400014,1.0,2.3
C=C(C)C(=O)OC,C=C(C)C(=O)OCC1CO1,0.0387193491220614,0.0621342275730967,-0.0189109390358908,-0.0032042971158716,-0.0351078265498472,0.0157066419200191,-0.0161968875139564,-0.22108451,0.0354051367,-0.273330301,-0.0453630638,0.0522457909999999,0.1757214462,84.7794511892745,44.03276511143535,95.1734259009865,66.70242417829655,122.731,79.4279,2.263749965029928,291.03948515943864,257.13889877,0.6,1.0
C=C(C)C(=O)OCC1CO1,C=C(C)C(=O)OCC1CO1,0.0387193491220614,0.0621342275730967,-0.016214351634062,-0.0034709861010924,-0.035398393134983,0.0127433655329696,-0.019184041500921,-0.22108451,0.0354051367,-0.275241871,-0.0527995787,0.054157361,0.1682849313,84.78373051334268,44.05448414510542,95.1734259009865,66.70242417829655,122.731,107.5701,2.2752458642076463,289.61726807804394,299.1494634536001,0.6,0.6
C=Cc1ccccc1,C=C(C)C(=O)OCC1CO1,0.0387193491220614,0.0621342275730967,-0.0158514060198058,-0.0039743028498833,-0.041203161464864,0.0118771031699225,-0.0253517554450581,-0.22108451,0.0354051367,-0.230830579,-0.0422251322,0.0097460689999999,0.1788593778,83.82566537196136,39.74979951661228,95.1734259009865,66.70242417829655,122.731,89.4457,2.303856981829167,321.60672317366067,261.1490695308,0.6,2.7
CO/C=C\C(=O)OC,C=C(C)C(=O)OCC1CO1,0.0387193491220614,0.0621342275730967,-0.0180875923839494,-0.0012788652499011,-0.0219988095878989,0.0168087271340482,-0.0039112172039494,-0.22108451,0.0354051367,-0.24217706,-0.0310365737,0.0210925499999999,0.1900479363,89.37469006366125,50.469674103115295,95.1734259009865,66.70242417829655,122.731,91.9763,2.171464380400803,299.5425548591388,273.13381338959994,0.6,0.2
C=C(C)C(=O)O,C=C(C)C(=O)OCC1CO1,0.0387193491220614,0.0621342275730967,-0.0116506073209166,-0.0026073596588958,-0.0347028178979371,0.0090432476620208,-0.0230522105770205,-0.22108451,0.0354051367,-0.278312543,-0.0495002213,0.057228033,0.1715842887,84.78222016367157,44.04000478932537,95.1734259009865,66.70242417829655,122.731,69.6661,2.276899960676577,288.9387412565527,243.12324870599997,0.6,0.7
